1/n,Bi,B0,B1,B2,B3,B4,C/C0_lower,C/C0_upper
0.3,6,-0.197077,1.118564,0.117894,0.011527,0.135874,0.01,0.99
0.3,8,-0.197070,1.069216,0.119760,0.013925,0.132691,0.01,0.99
0.3,10,-0.173358,1.000000,0.120311,0.015940,0.133973,0.01,0.99
0.3,15,-0.173350,0.919411,0.071768,0.014156,0.086270,0.01,0.98
0.3,35,0.666471,0.484570,7.719440,0.013444,0.259545,0.02,0.99
0.3,100,0.696161,0.516951,2.054587,0.012961,0.303218,0.01,0.99
0.4,0.5,-0.534251,1.603834,0.094055,0.004141,0.137797,0.01,0.99
0.4,2,-0.166270,1.190897,0.122280,0.006261,0.134278,0.01,0.99
0.4,4,-0.166270,1.131946,0.115513,0.008634,0.126813,0.01,0.99
0.4,6,-0.166270,1.089789,0.112284,0.010463,0.124307,0.01,0.99
0.4,9,0.491912,0.491833,0.487414,0.011371,0.147747,0.02,0.98
0.4,12,0.564119,0.419196,0.639819,0.011543,0.149005,0.02,0.99
0.4,15,0.640669,0.432466,1.048056,0.011616,0.212726,0.02,0.99
0.4,25,0.672353,0.397007,1.153169,0.011280,0.216883,0.01,0.99
0.4,100,0.741435,0.448054,1.929879,0.010152,0.306448,0.01,0.99
0.5,0.5,-0.040800,1.099652,0.158995,0.005467,0.139116,0.01,0.99
0.5,4,-0.040800,0.982757,0.111618,0.008072,0.111404,0.01,0.99
0.5,10,0.094602,0.754878,0.092069,0.009877,0.090763,0.01,0.99
0.5,14,0.023000,0.802068,0.057545,0.009662,0.084532,0.01,0.99
0.5,25,0.023000,0.793673,0.039324,0.009326,0.082751,0.01,0.99
0.5,100,0.529213,0.291801,0.082428,0.008317,0.075461,0.01,0.99
0.6,0.5,0.352536,0.692114,0.263134,0.005482,0.121775,0.01,0.99
0.6,2,0.521979,0.504220,0.327290,0.005612,0.128679,0.01,0.99
0.6,6,0.676253,0.334583,0.482297,0.005898,0.138946,0.01,0.99
0.6,14,0.769531,0.259497,0.774068,0.005600,0.165513,0.01,0.99
0.6,50,0.849057,0.215799,1.343183,0.004725,0.223759,0.01,0.99
0.6,100,0.831231,0.227304,1.174756,0.004961,0.212109,0.01,0.99
0.7,0.5,0.575024,0.449062,0.278452,0.004122,0.121682,0.01,0.99
0.7,4,0.715269,0.307172,0.442104,0.004371,0.138351,0.01,0.99
0.7,12,0.787940,0.243548,0.661599,0.004403,0.162595,0.01,0.99
0.7,25,0.829492,0.204078,0.784529,0.004050,0.179003,0.01,0.99
0.7,100,0.847012,0.190678,0.931686,0.003849,0.183239,0.01,0.99
0.8,0.5,0.708905,0.314101,0.357499,0.003276,0.119300,0.01,0.99
0.8,4,0.784576,0.239663,0.484422,0.003206,0.134987,0.01,0.99
0.8,14,0.839439,0.188966,0.648124,0.003006,0.157697,0.01,0.99
0.8,100,0.882747,0.146229,0.807987,0.002537,0.174543,0.01,0.99
0.9,0.5,0.865453,0.157618,0.444973,0.001650,0.148084,0.01,0.99
0.9,4,0.854768,0.171434,0.495042,0.001910,0.142251,0.01,0.99
0.9,16,0.866180,0.163992,0.573946,0.001987,0.157594,0.01,0.99
0.9,100,0.893192,0.133039,0.624100,0.001740,0.164248,0.01,0.99
