case_study,scenario,units,unit_process,value,constituent,calculation_type,reference,data_reference,constituent_longform
default,baseline,kg/m3,reverse_osmosis,0.98,tss,fractional_constituent_removal,nawi,doi:10.3390/polym11081263,Total Suspended Solids (TSS)
big_spring,baseline,kg/m3,reverse_osmosis,0.99,tss,fractional_constituent_removal,nawi,"From: ""TOC removal in reclamation of municipal wastewater by RO"" (2005) https://doi.org/10.1016/j.seppur.2005.04.004 -KAS",Total Suspended Solids (TSS)
big_spring,baseline,kg/m3,reverse_osmosis,0.973097,bicarbonate_alkalinity_as_caco3,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bicarbonate Alkalinity as CaCO3
big_spring,baseline,kg/m3,reverse_osmosis,0.973097,bromide,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bromide
big_spring,baseline,kg/m3,reverse_osmosis,0.973097,calcium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Calcium, Dissolved"
big_spring,baseline,kg/m3,reverse_osmosis,0.973097,chloride,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Chloride
big_spring,baseline,kg/m3,reverse_osmosis,0.973097,fluoride,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Fluoride
big_spring,baseline,kg/m3,reverse_osmosis,0.973097,magnesium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Magnesium, Dissolved"
big_spring,baseline,kg/m3,reverse_osmosis,0.973097,potassium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Potassium
big_spring,baseline,kg/m3,reverse_osmosis,0.973097,silicon,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Silicon
big_spring,baseline,kg/m3,reverse_osmosis,0.973097,sodium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sodium, Dissolved"
big_spring,baseline,kg/m3,reverse_osmosis,0.973097,strontium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Strontium
big_spring,baseline,kg/m3,reverse_osmosis,0.973097,sulfate,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sulfate, Dissolved"
big_spring,baseline,kg/m3,reverse_osmosis,0.973097,tds,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Total Dissolved Solids (TDS)
big_spring,baseline,kg/m3,reverse_osmosis,0.9,toc,fractional_constituent_removal,nawi,"From: ""TOC removal in reclamation of municipal wastewater by RO"" (2005) https://doi.org/10.1016/j.seppur.2005.04.004 -KAS",Total Organic Carbon (TOC)
carlsbad,baseline,kg/m3,reverse_osmosis,0.99,tss,fractional_constituent_removal,nawi,"From: ""TOC removal in reclamation of municipal wastewater by RO"" (2005) https://doi.org/10.1016/j.seppur.2005.04.004 -KAS",Total Suspended Solids (TSS)
carlsbad,baseline,kg/m3,reverse_osmosis,0.992,bicarbonate_alkalinity_as_caco3,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bicarbonate Alkalinity as CaCO3
carlsbad,baseline,kg/m3,reverse_osmosis,0.992,bromide,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bromide
carlsbad,baseline,kg/m3,reverse_osmosis,0.992,calcium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Calcium, Dissolved"
carlsbad,baseline,kg/m3,reverse_osmosis,0.992,chloride,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Chloride
carlsbad,baseline,kg/m3,reverse_osmosis,0.992,fluoride,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Fluoride
carlsbad,baseline,kg/m3,reverse_osmosis,0.992,magnesium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Magnesium, Dissolved"
carlsbad,baseline,kg/m3,reverse_osmosis,0.992,potassium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Potassium
carlsbad,baseline,kg/m3,reverse_osmosis,0.992,silicon,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Silicon
carlsbad,baseline,kg/m3,reverse_osmosis,0.992,sodium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sodium, Dissolved"
carlsbad,baseline,kg/m3,reverse_osmosis,0.992,strontium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Strontium
carlsbad,baseline,kg/m3,reverse_osmosis,0.992,sulfate,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sulfate, Dissolved"
carlsbad,baseline,kg/m3,reverse_osmosis,0.992,tds,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Total Dissolved Solids (TDS)
carlsbad,baseline,kg/m3,reverse_osmosis,0.9,toc,fractional_constituent_removal,nawi,"From: ""TOC removal in reclamation of municipal wastewater by RO"" (2005) https://doi.org/10.1016/j.seppur.2005.04.004 -KAS",Total Organic Carbon (TOC)
cherokee,baseline,kg/m3,reverse_osmosis,0.99,tss,fractional_constituent_removal,nawi,"From: ""TOC removal in reclamation of municipal wastewater by RO"" (2005) https://doi.org/10.1016/j.seppur.2005.04.004 -KAS",Total Suspended Solids (TSS)
cherokee,baseline,kg/m3,reverse_osmosis,0.953008,bicarbonate_alkalinity_as_caco3,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bicarbonate Alkalinity as CaCO3
cherokee,baseline,kg/m3,reverse_osmosis,0.953008,bromide,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bromide
cherokee,baseline,kg/m3,reverse_osmosis,0.953008,calcium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Calcium, Dissolved"
cherokee,baseline,kg/m3,reverse_osmosis,0.953008,chloride,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Chloride
cherokee,baseline,kg/m3,reverse_osmosis,0.953008,fluoride,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Fluoride
cherokee,baseline,kg/m3,reverse_osmosis,0.953008,magnesium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Magnesium, Dissolved"
cherokee,baseline,kg/m3,reverse_osmosis,0.953008,potassium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Potassium
cherokee,baseline,kg/m3,reverse_osmosis,0.953008,silicon,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Silicon
cherokee,baseline,kg/m3,reverse_osmosis,0.953008,sodium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sodium, Dissolved"
cherokee,baseline,kg/m3,reverse_osmosis,0.953008,strontium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Strontium
cherokee,baseline,kg/m3,reverse_osmosis,0.953008,sulfate,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sulfate, Dissolved"
cherokee,baseline,kg/m3,reverse_osmosis,0.953008,tds,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Total Dissolved Solids (TDS)
cherokee,baseline,kg/m3,reverse_osmosis,0.9,toc,fractional_constituent_removal,nawi,"From: ""TOC removal in reclamation of municipal wastewater by RO"" (2005) https://doi.org/10.1016/j.seppur.2005.04.004 -KAS",Total Organic Carbon (TOC)
damodar_pr,baseline,kg/m3,reverse_osmosis,0.99,tss,fractional_constituent_removal,nawi,"From: ""TOC removal in reclamation of municipal wastewater by RO"" (2005) https://doi.org/10.1016/j.seppur.2005.04.004 -KAS",Total Suspended Solids (TSS)
damodar_pr,baseline,kg/m3,ro_deep,0.9793,bicarbonate_alkalinity_as_caco3,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bicarbonate Alkalinity as CaCO3
damodar_pr,baseline,kg/m3,ro_deep,0.9793,bromide,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bromide
damodar_pr,baseline,kg/m3,ro_deep,0.9793,calcium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Calcium, Dissolved"
damodar_pr,baseline,kg/m3,ro_deep,0.9793,chloride,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Chloride
damodar_pr,baseline,kg/m3,ro_deep,0.9793,fluoride,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Fluoride
damodar_pr,baseline,kg/m3,ro_deep,0.9793,magnesium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Magnesium, Dissolved"
damodar_pr,baseline,kg/m3,ro_deep,0.9793,potassium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Potassium
damodar_pr,baseline,kg/m3,ro_deep,0.9793,silicon,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Silicon
damodar_pr,baseline,kg/m3,ro_deep,0.9793,sodium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sodium, Dissolved"
damodar_pr,baseline,kg/m3,ro_deep,0.9793,strontium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Strontium
damodar_pr,baseline,kg/m3,ro_deep,0.9793,sulfate,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sulfate, Dissolved"
damodar_pr,baseline,kg/m3,ro_deep,0.9793,tds,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Total Dissolved Solids (TDS)
damodar_pr,baseline,kg/m3,ro_deep,0.9,toc,fractional_constituent_removal,nawi,"From: ""TOC removal in reclamation of municipal wastewater by RO"" (2005) https://doi.org/10.1016/j.seppur.2005.04.004 -KAS",Total Organic Carbon (TOC)
damodar_pr,baseline,kg/m3,reverse_osmosis,0.9793,bicarbonate_alkalinity_as_caco3,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bicarbonate Alkalinity as CaCO3
damodar_pr,baseline,kg/m3,reverse_osmosis,0.9793,bromide,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bromide
damodar_pr,baseline,kg/m3,reverse_osmosis,0.9793,calcium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Calcium, Dissolved"
damodar_pr,baseline,kg/m3,reverse_osmosis,0.9793,chloride,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Chloride
damodar_pr,baseline,kg/m3,reverse_osmosis,0.9793,fluoride,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Fluoride
damodar_pr,baseline,kg/m3,reverse_osmosis,0.9793,magnesium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Magnesium, Dissolved"
damodar_pr,baseline,kg/m3,reverse_osmosis,0.9793,potassium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Potassium
damodar_pr,baseline,kg/m3,reverse_osmosis,0.9793,silicon,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Silicon
damodar_pr,baseline,kg/m3,reverse_osmosis,0.9793,sodium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sodium, Dissolved"
damodar_pr,baseline,kg/m3,reverse_osmosis,0.9793,strontium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Strontium
damodar_pr,baseline,kg/m3,reverse_osmosis,0.9793,sulfate,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sulfate, Dissolved"
damodar_pr,baseline,kg/m3,reverse_osmosis,0.9793,tds,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Total Dissolved Solids (TDS)
damodar_pr,baseline,kg/m3,reverse_osmosis,0.9,toc,fractional_constituent_removal,nawi,"From: ""TOC removal in reclamation of municipal wastewater by RO"" (2005) https://doi.org/10.1016/j.seppur.2005.04.004 -KAS",Total Organic Carbon (TOC)
damodar_sj,baseline,kg/m3,reverse_osmosis,0.99,tss,fractional_constituent_removal,nawi,"From: ""TOC removal in reclamation of municipal wastewater by RO"" (2005) https://doi.org/10.1016/j.seppur.2005.04.004 -KAS",Total Suspended Solids (TSS)
damodar_sj,baseline,kg/m3,ro_deep,0.9784,bicarbonate_alkalinity_as_caco3,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bicarbonate Alkalinity as CaCO3
damodar_sj,baseline,kg/m3,ro_deep,0.9784,bromide,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bromide
damodar_sj,baseline,kg/m3,ro_deep,0.9784,calcium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Calcium, Dissolved"
damodar_sj,baseline,kg/m3,ro_deep,0.9784,chloride,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Chloride
damodar_sj,baseline,kg/m3,ro_deep,0.9784,fluoride,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Fluoride
damodar_sj,baseline,kg/m3,ro_deep,0.9784,magnesium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Magnesium, Dissolved"
damodar_sj,baseline,kg/m3,ro_deep,0.9784,potassium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Potassium
damodar_sj,baseline,kg/m3,ro_deep,0.9784,silicon,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Silicon
damodar_sj,baseline,kg/m3,ro_deep,0.9784,sodium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sodium, Dissolved"
damodar_sj,baseline,kg/m3,ro_deep,0.9784,strontium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Strontium
damodar_sj,baseline,kg/m3,ro_deep,0.9784,sulfate,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sulfate, Dissolved"
damodar_sj,baseline,kg/m3,ro_deep,0.9784,tds,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Total Dissolved Solids (TDS)
damodar_sj,baseline,kg/m3,ro_deep,0.9,toc,fractional_constituent_removal,nawi,"From: ""TOC removal in reclamation of municipal wastewater by RO"" (2005) https://doi.org/10.1016/j.seppur.2005.04.004 -KAS",Total Organic Carbon (TOC)
damodar_sj,baseline,kg/m3,reverse_osmosis,0.9784,bicarbonate_alkalinity_as_caco3,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bicarbonate Alkalinity as CaCO3
damodar_sj,baseline,kg/m3,reverse_osmosis,0.9784,bromide,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bromide
damodar_sj,baseline,kg/m3,reverse_osmosis,0.9784,calcium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Calcium, Dissolved"
damodar_sj,baseline,kg/m3,reverse_osmosis,0.9784,chloride,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Chloride
damodar_sj,baseline,kg/m3,reverse_osmosis,0.9784,fluoride,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Fluoride
damodar_sj,baseline,kg/m3,reverse_osmosis,0.9784,magnesium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Magnesium, Dissolved"
damodar_sj,baseline,kg/m3,reverse_osmosis,0.9784,potassium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Potassium
damodar_sj,baseline,kg/m3,reverse_osmosis,0.9784,silicon,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Silicon
damodar_sj,baseline,kg/m3,reverse_osmosis,0.9784,sodium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sodium, Dissolved"
damodar_sj,baseline,kg/m3,reverse_osmosis,0.9784,strontium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Strontium
damodar_sj,baseline,kg/m3,reverse_osmosis,0.9784,sulfate,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sulfate, Dissolved"
damodar_sj,baseline,kg/m3,reverse_osmosis,0.9784,tds,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Total Dissolved Solids (TDS)
damodar_sj,baseline,kg/m3,reverse_osmosis,0.9,toc,fractional_constituent_removal,nawi,"From: ""TOC removal in reclamation of municipal wastewater by RO"" (2005) https://doi.org/10.1016/j.seppur.2005.04.004 -KAS",Total Organic Carbon (TOC)
default,baseline,kg/m3,aeration_basin1,0.5,nonvolatile_toc,fractional_constituent_removal,nawi,Pulp and paper case study.,Nonvolatile TOC
default,baseline,kg/m3,aeration_basin1,0.7,bod,fractional_constituent_removal,nawi,Pulp and paper case study.,Biological Oxygen Demand (BOD)
default,baseline,kg/m3,aeration_basin1,0.7,cod,fractional_constituent_removal,nawi,Pulp and paper case study.,Chemical Oxygen Demand (COD)
default,baseline,kg/m3,aeration_basin1,0.70854,toc,fractional_constituent_removal,nawi,Pulp and paper case study.,Total Organic Carbon (TOC)
default,baseline,kg/m3,aeration_basin1,0.88,eeq,fractional_constituent_removal,nawi,Pulp and paper case study.,Estradiol Equivalency (EEQ)
default,baseline,kg/m3,aeration_basin1,0.99,viruses_enteric,fractional_constituent_removal,nawi,Pulp and paper case study.,Viruses (enteric)
default,baseline,kg/m3,aeration_basin1,0.998798,total_coliforms_fecal_ecoli,fractional_constituent_removal,nawi,Pulp and paper case study.,Total Coliforms (including fecal coliform and� E. Coli)
default,baseline,%,aeration_basin1,60,ultraviolet_transmittance_uvt,absolute_value,nawi,Pulp and paper case study.,Ultraviolet Transmittance (UVT)
default,baseline,kg/m3,aeration_basin2,0.5,bod,fractional_constituent_removal,nawi,Pulp and paper case study.,Biological Oxygen Demand (BOD)
default,baseline,kg/m3,aeration_basin2,0.5,thallium,fractional_constituent_removal,nawi,Pulp and paper case study.,Thallium
default,baseline,kg/m3,anaerobic_digestion_oxidation,0.75,tss,fractional_constituent_removal,nawi,Beef Processing case study.,Total Suspended Solids (TSS)
default,baseline,kg/m3,anaerobic_digestion_oxidation,0.97,bod,fractional_constituent_removal,nawi,Beef Processing case study.,Biological Oxygen Demand (BOD)
default,baseline,kg/m3,anion_exchange_epa,0.9,tds,fractional_constituent_removal,nawi,,
default,baseline,kg/m3,backwash_solids_handling,0.95,nitrate,fractional_constituent_removal,nawi,default,Nitrate (measured as Nitrogen)
default,baseline,kg/m3,backwash_solids_handling,0.95,toc,fractional_constituent_removal,nawi,default,Total Organic Carbon (TOC)
default,baseline,kg/m3,backwash_solids_handling,0.95,tss,fractional_constituent_removal,nawi,default,Total Suspended Solids (TSS))
default,baseline,kg/m3,bio_active_filtration,0.2,nonvolatile_toc,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Nonvolatile TOC
default,baseline,kg/m3,bio_active_filtration,0.5,tss,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Total Suspended Solids (TSS)
default,baseline,%,bio_active_filtration,85,ultraviolet_transmittance_uvt,absolute_value,nawi,Texas Water Development Board IT3PR User Manual,Ultraviolet Transmittance (UVT)
default,baseline,kg/m3,bioreactor,0.8,boron,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,"Boron, dissolved"
default,baseline,kg/m3,bioreactor,0.965,selenium,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Selenium
default,baseline,kg/m3,brine_concentrator,0.98,alkalinity_as_caco3,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,aluminum,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,arsenic,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,barium,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,bicarbonate_alkalinity_as_caco3,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,boron,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,bromide,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,calcium,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,chloride,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,chromium,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,cyanide_as_free,fractional_constituent_removal,nawi,default,
default,baseline,S/m,brine_concentrator,0.98,electrical_conductivity,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,fluoride,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,hardness,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,iron,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,lead,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,magnesium,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,manganese,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,mercury,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,nickel,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,nitrate,fractional_constituent_removal,nawi,default,
default,baseline,kg/m3,brine_concentrator,0.98,nitrate_as_nitrogen,fractional_constituent_removal,nawi,default,
